2013-03-04 15:24:12.300 INFO in 'file_copier' at 	line 47: And it is txt object.
2013-03-04 15:24:12.300 INFO in 'file_copier' at 	line 66: ---End log at 2013-03-04 15:24:12.300773---

2013-03-04 15:24:12.300 INFO in 'file_copier' at 	line 67: 
     **************************************************
2013-03-04 15:24:13.660 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:24:13.661 INFO in 'file_copier' at 	line 25: 2013-03-04 15:24:13.661190
2013-03-04 15:24:13.661 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:24:13.661 INFO in 'file_copier' at 	line 45: There are one argument received.
2013-03-04 15:24:13.661 INFO in 'file_copier' at 	line 47: And it is txt object.
2013-03-04 15:24:13.661 INFO in 'file_copier' at 	line 66: ---End log at 2013-03-04 15:24:13.661507---

2013-03-04 15:24:13.661 INFO in 'file_copier' at 	line 67: 
     **************************************************
2013-03-04 15:26:11.484 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:26:11.484 INFO in 'file_copier' at 	line 25: 2013-03-04 15:26:11.484344
2013-03-04 15:26:11.484 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:26:11.484 INFO in 'file_copier' at 	line 57: There are one argument received.
2013-03-04 15:26:11.484 INFO in 'file_copier' at 	line 59: And it is txt object.
2013-03-04 15:26:11.484 INFO in 'file_copier' at 	line 71: ---End log at 2013-03-04 15:26:11.484676---

2013-03-04 15:26:11.484 INFO in 'file_copier' at 	line 72: 
     **************************************************
2013-03-04 15:50:40.735 INFO in 'file_copier' at 	line 24: 


     **************************************************
2013-03-04 15:50:40.735 INFO in 'file_copier' at 	line 26: 2013-03-04 15:50:40.735234
2013-03-04 15:50:40.735 INFO in 'file_copier' at 	line 28: ---Start log---
2013-03-04 15:50:40.735 INFO in 'file_copier' at 	line 70: There are one argument received.
2013-03-04 15:50:40.735 INFO in 'file_copier' at 	line 72: And it is txt object.
2013-03-04 15:51:29.176 INFO in 'file_copier' at 	line 24: 


     **************************************************
2013-03-04 15:51:29.176 INFO in 'file_copier' at 	line 26: 2013-03-04 15:51:29.176333
2013-03-04 15:51:29.176 INFO in 'file_copier' at 	line 28: ---Start log---
2013-03-04 15:51:29.176 INFO in 'file_copier' at 	line 70: There are one argument received.
2013-03-04 15:51:29.176 INFO in 'file_copier' at 	line 72: And it is txt object.
2013-03-04 15:51:29.176 INFO in 'file_copier' at 	line 86: ---End log at 2013-03-04 15:51:29.176694---

2013-03-04 15:51:29.176 INFO in 'file_copier' at 	line 87: 
     **************************************************
2013-03-04 15:56:00.487 INFO in 'file_copier' at 	line 24: 


     **************************************************
2013-03-04 15:56:00.487 INFO in 'file_copier' at 	line 26: 2013-03-04 15:56:00.487368
2013-03-04 15:56:00.487 INFO in 'file_copier' at 	line 28: ---Start log---
2013-03-04 15:56:00.487 INFO in 'file_copier' at 	line 72: There are one argument received.
2013-03-04 15:56:00.487 INFO in 'file_copier' at 	line 74: And it is txt object.
